Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight
Warburtons Medium Sliced Wholemeal Bread 400g,85p,21p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2048178/1/300x300.jpg,images/Warburtons Medium Sliced Wholemeal Bread 400g_2048178.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-wholemeal-bread--medium-sliced-400g,19,
Sainsbury's Garlic Baguette x2 420g,£1.00,24p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/678902/1/300x300.jpg,images/Sainsbury's Garlic Baguette x2 420g_678902.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-garlic-baguette-x2-420g,21,
Sainsbury's Soft Medium Sliced White Bread 800g,55p,7p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/14137/1/300x300.jpg,images/Sainsbury's Soft Medium Sliced White Bread 800g_14137.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-white-bread--medium-sliced-800g,23,
Warburtons Medium Sliced White Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2046136/1/300x300.jpg,images/Warburtons Medium Sliced White Bread 800g_2046136.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-white-bread--medium-sliced-800g,24,
Kingsmill Soft Medium Sliced White Bread 800g,80p,10p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6528103/1/300x300.jpg,images/Kingsmill Soft Medium Sliced White Bread 800g_6528103.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/kingsmill-soft-white-bread--medium-800g,14,
Hovis Granary Medium Sliced Bread 800g,£1.50,19p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2362847/1/300x300.jpg,images/Hovis Granary Medium Sliced Bread 800g_2362847.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-granary-bread--medium-800g,10,
Sainsbury's Multiseed Loaf Taste Difference 800g,£1.35,17p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6504663/1/300x300.jpg,images/Sainsbury's Multiseed Loaf Taste Difference 800g_6504663.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-multiseed-loaf-taste-difference-800g-6504663-p,227,
Hovis Thick Sliced Wholemeal Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2315386/1/300x300.jpg,images/Hovis Thick Sliced Wholemeal Bread 800g_2315386.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-wholemeal-bread--thick-sliced-800g,17,
Kingsmill Medium Sliced Wholemeal Bread 800g,95p,12p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6528110/1/300x300.jpg,images/Kingsmill Medium Sliced Wholemeal Bread 800g_6528110.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/kingsmill-great-everyday-wholemeal-bread--medium-800g,5,
Warburtons Toastie Thick Sliced White Bread 400g,85p,21p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2682112/1/300x300.jpg,images/Warburtons Toastie Thick Sliced White Bread 400g_2682112.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-white-toastie-bread--sliced-400g,13,
Sainsbury's Crusty White Baguette 400g,85p,85p / ea,https://assets.sainsburys-groceries.co.uk/gol/6540425/1/300x300.jpg,images/Sainsbury's Crusty White Baguette 400g_6540425.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-crusty-white-baguette-400g-6540425-p,21,
Warburtons Medium Sliced Wholemeal Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2046518/1/300x300.jpg,images/Warburtons Medium Sliced Wholemeal Bread 800g_2046518.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-wholemeal-bread--sliced-800g,17,
"Stamford Street Garlic Baguette, Basics x2 340g",64p,19p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/1254709/1/300x300.jpg,"images/Stamford Street Garlic Baguette, Basics x2 340g_1254709.jpg",All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-garlic-baguette--basics-x2-340g,27,
Warburtons Lighter Medium Sliced Danish White Bread 400g,£1.00,25p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2682273/1/300x300.jpg,images/Warburtons Lighter Medium Sliced Danish White Bread 400g_2682273.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-danish-white-bread--sliced-400g,6,
Warburtons Sandwich Thins x6,£1.00,17p / ea,https://assets.sainsburys-groceries.co.uk/gol/7458366/1/300x300.jpg,images/Warburtons Sandwich Thins x6_7458366.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-sandwich-thins-x6,14,
Hovis Tasty Medium Sliced Wholemeal Bread 400g,85p,21p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2754307/1/300x300.jpg,images/Hovis Tasty Medium Sliced Wholemeal Bread 400g_2754307.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-wholemeal-bread-400g,11,
Hovis Thick Sliced Best of Both Bread 750g,£1.15,15p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/7649202/1/300x300.jpg,images/Hovis Thick Sliced Best of Both Bread 750g_7649202.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-best-of-both-thick-750g,6,
Sainsbury's All Butter Croissants x4,95p,24p / ea,https://assets.sainsburys-groceries.co.uk/gol/32360/1/300x300.jpg,images/Sainsbury's All Butter Croissants x4_32360.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-all-butter-croissants-x4,31,
Kingsmill Thick Sliced 50/50 Bread 800g,£1.00,13p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6528198/1/300x300.jpg,images/Kingsmill Thick Sliced 50_50 Bread 800g_6528198.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/kingsmill-50-50-bread--thick-800g,5,
Daily's Medium Sliced White Bread 800g,45p,6p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/1048063/1/300x300.jpg,images/Daily's Medium Sliced White Bread 800g_1048063.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-white-sliced-bread--basics-800g,,
Sainsbury's Giraffe Bread (Tiger) 400g,80p,20p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6539745/1/300x300.jpg,images/Sainsbury's Giraffe Bread (Tiger) 400g_6539745.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-giraffe-bread-tiger-400g,32,
Daily's Medium Sliced Wholemeal Bread 800g,45p,6p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6909870/1/300x300.jpg,images/Daily's Medium Sliced Wholemeal Bread 800g_6909870.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-medium-wholemeal-bread--basics-800g,,
Hovis Granary Thick Sliced Bread 800g,£1.50,19p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/3324684/1/300x300.jpg,images/Hovis Granary Thick Sliced Bread 800g_3324684.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-original-granary-bread--thick-sliced-800g,11,
Sainsbury's Giraffe Bread (Tiger) 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6539711/1/300x300.jpg,images/Sainsbury's Giraffe Bread (Tiger) 800g_6539711.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-giraffe-bread-tiger-800g,34,
Hovis Granary Thick Sliced Bread 400g,95p,24p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2753355/1/300x300.jpg,images/Hovis Granary Thick Sliced Bread 400g_2753355.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-original-granary-bread--half-loaf-400g,9,
Hovis Granary Thick Sliced Wholemeal Bread 800g,£1.50,19p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2412979/1/300x300.jpg,images/Hovis Granary Thick Sliced Wholemeal Bread 800g_2412979.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-wholemeal-seeded-granary-bread-800g,16,
