Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count
Barilla Linguine,£ 1.5,£ 0.3 per 100g,https://www.ocado.com/productImages/301/301673011_0_640x640.jpg,images/Barilla Linguine.jpg,Food Cupboard,"Food Cupboard>Rice, Pasta & Pulses>Pasta>Linguine",Yes,https://www.ocado.com/products/301673011,14
Heinz Tomato Ketchup 50% Less Sugar & Salt,£ 1.75,£ 0.402 per 100g,https://www.ocado.com/productImages/372/372136011_0_640x640.jpg,images/Heinz Tomato Ketchup 50% Less Sugar & Salt.jpg,Food Cupboard,Food Cupboard>Condiments & Dressings>Lighter Options,Yes,https://www.ocado.com/products/372136011,26
Sensations Thai Sweet Chilli Coated Peanuts,£ 1.99,£ 1.33 per 100g,https://www.ocado.com/productImages/248/248498011_0_640x640.jpg,images/Sensations Thai Sweet Chilli Coated Peanuts.jpg,Food Cupboard,"New Year's Party>Crisps, Dips & Snacks",Yes,https://www.ocado.com/products/248498011,17
Sensations Mango & Chutney Poppadoms,£ 0.99,£ 1.1989 per 100g,https://www.ocado.com/productImages/373/373285011_0_640x640.jpg,images/Sensations Mango & Chutney Poppadoms.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/373285011,19
Bisto Best Chicken Gravy ,£ 2.9,£ 1.16 per 100g,https://www.ocado.com/productImages/169/16905011_0_640x640.jpg,images/Bisto Best Chicken Gravy .jpg,Food Cupboard,Food Cupboard>Cooking Ingredients>Stocks & Gravies>Gravy>Granules & Powder,Yes,https://www.ocado.com/products/16905011,27
Scott's Porage Original Porridge Oats,£ 2.2,£ 0.22 per 100g,https://www.ocado.com/productImages/182/18287011_0_640x640.jpg,images/Scott's Porage Original Porridge Oats.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Breakfast>Porridge",Yes,https://www.ocado.com/products/18287011,20
Celebrations Chocolate Sharing Pouch Bag,£ 3.32,£ 0.8317 per 100g,https://www.ocado.com/productImages/531/531012011_0_640x640.jpg,images/Celebrations Chocolate Sharing Pouch Bag.jpg,Food Cupboard,Christmas Clearance>Sweets & Chocolate,Yes,https://www.ocado.com/products/531012011,1
Biona Organic Chopped Peeled Tomatoes,£ 1.19,£ 0.298 per 100g,https://www.ocado.com/productImages/513/51371011_0_640x640.jpg,images/Biona Organic Chopped Peeled Tomatoes.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Organic>Food Cupboard>Tins & Cans",Yes,https://www.ocado.com/products/51371011,36
Lindt Excellence Intense Orange,£ 2.0,£ 2.0 per 100g,https://www.ocado.com/productImages/340/34050011_0_640x640.jpg,images/Lindt Excellence Intense Orange.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Treats>Chocolate",Yes,https://www.ocado.com/products/34050011,35
Brindisa Perelló Gordal Pitted Olives Picanté,£ 2.76,£ 1.84 per 100g,https://www.ocado.com/productImages/813/81361011_0_640x640.jpg,images/Brindisa Perelló Gordal Pitted Olives Picanté.jpg,Food Cupboard,"Food Cupboard>Cooking Ingredients>Olives, Gherkins & Antipasti>Olives, Capers & Tapenades>Green Olives",Yes,https://www.ocado.com/products/81361011,87
Wonderful Pistachios Roasted & Salted,£ 2.95,£ 1.3443 per 100g,https://www.ocado.com/productImages/259/259361011_0_640x640.jpg,images/Wonderful Pistachios Roasted & Salted.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Nuts & Seeds>Nuts>Pistachios",Yes,https://www.ocado.com/products/259361011,15
Loyd Grossman Tomato & Basil Pasta Sauce,£ 2.05,£ 0.586 per 100g,https://www.ocado.com/productImages/121/12165011_0_640x640.jpg,images/Loyd Grossman Tomato & Basil Pasta Sauce.jpg,Food Cupboard,Food Cupboard>Cooking Sauces & Kits>Pasta Sauces>Tomato Sauces,Yes,https://www.ocado.com/products/12165011,21
Ritz Crackers,£ 1.0,£ 0.5 per 100g,https://www.ocado.com/productImages/102/10270011_0_640x640.jpg,images/Ritz Crackers.jpg,Food Cupboard,Food Cupboard>Crackers & Crispbreads>Breadsticks & Nibbles>Nibbles & Bites,Yes,https://www.ocado.com/products/10270011,27
